Class ID,Preferred Label,Synonyms
http://purl.obolibrary.org/obo/HP_0030100,Abnormal muscle fiber alpha sarcoglycan,
http://purl.obolibrary.org/obo/HP_0006479,Abnormality of the dental pulp,Abnormality of tooth pulp|Endodontic abnormality
http://purl.obolibrary.org/obo/HP_0031068,Increased femoral torsion,
http://purl.obolibrary.org/obo/HP_0025173,Nodular septal thickening on pulmonary HRCT,
http://purl.obolibrary.org/obo/HP_0006246,HP_0006246,
http://purl.obolibrary.org/obo/HP_0004104,HP_0004104,
http://purl.obolibrary.org/obo/HP_0005916,Abnormal metacarpal morphology,Abnormal shape of long bones of hand|Abnormal shape of metacarpal bones
http://purl.obolibrary.org/obo/HP_0010442,Polydactyly,More than five fingers or toes on hands or feet
http://purl.obolibrary.org/obo/HP_0031505,Abnormal circulating thyroxine level,
http://purl.obolibrary.org/obo/HP_0003292,Decreased serum leptin,Reduced circulating leptin level|Decreased serum leptin
http://purl.obolibrary.org/obo/HP_0004303,Abnormal muscle fiber morphology,Abnormal skeletal muscle fiber morphology|Abnormality of muscle fibers
http://purl.obolibrary.org/obo/HP_0012537,Food intolerance,Non-allergic food hypersensitivity|Food intolerance
http://purl.obolibrary.org/obo/HP_0011714,Libman-Sacks lesions,
http://purl.obolibrary.org/obo/HP_0500230,Increased CSF glycine concentration,High glycine levels in cerebrospinal fluid
http://purl.obolibrary.org/obo/HP_0040192,APUdoma,amine precursor uptake and decarboxylation tumours
http://purl.obolibrary.org/obo/HP_0009068,HP_0009068,
http://purl.obolibrary.org/obo/HP_0007842,HP_0007842,
http://purl.obolibrary.org/obo/HP_0045052,Abnormality of the brachial nerve plexus,
http://purl.obolibrary.org/obo/HP_0002962,HP_0002962,
http://purl.obolibrary.org/obo/HP_0003109,Hyperphosphaturia,Phosphaturia|High urine phosphate levels
http://purl.obolibrary.org/obo/HP_0001150,obsolete Choroidal sclerosis,
http://purl.obolibrary.org/obo/HP_0008754,Laryngeal calcification,Laryngeal calcifications
http://purl.obolibrary.org/obo/HP_0004697,HP_0004697,
http://purl.obolibrary.org/obo/HP_0031231,Narrow incisura width,
http://purl.obolibrary.org/obo/HP_0010983,Oligogenic inheritance,
http://purl.obolibrary.org/obo/HP_0100909,Sclerosis of the proximal phalanx of the 3rd finger,Increased bone density in innermost bone of the middle finger
http://purl.obolibrary.org/obo/HP_0000568,Microphthalmia,Decreased size of eyeball|Decreased size of globe of eye|Microphthalmos|Abnormally small globe of eye|Abnormally small eyeball|Nanophthalmos
http://purl.obolibrary.org/obo/HP_0012064,Unicameral bone cyst,
http://purl.obolibrary.org/obo/HP_0009505,Enlarged epiphysis of the distal phalanx of the 2nd finger,Enlarged end part of the outermost bone of the index finger
http://purl.obolibrary.org/obo/HP_0001410,Decreased liver function,"Liver dysfunction|Decreased liver function|Liver dysfunction, mild"
http://purl.obolibrary.org/obo/HP_0031704,Abnormal ear physiology,
http://purl.obolibrary.org/obo/HP_0005448,HP_0005448,
http://purl.obolibrary.org/obo/HP_0004492,Widely patent fontanelles and sutures,Widely patent fontanels and sutures
http://purl.obolibrary.org/obo/HP_0005503,HP_0005503,
http://purl.obolibrary.org/obo/HP_0011102,Ileal atresia,
http://purl.obolibrary.org/obo/HP_0001186,HP_0001186,
http://purl.obolibrary.org/obo/HP_0002998,HP_0002998,
http://purl.obolibrary.org/obo/HP_0009300,Aplasia/Hypoplasia of the proximal phalanx of the 4th finger,Absent/small innermost ring finger bone|Absent/underdeveloped innermost ring finger bone
http://purl.obolibrary.org/obo/HP_0100680,HP_0100680,
http://purl.obolibrary.org/obo/HP_0011581,Double outlet left ventricle,
http://purl.obolibrary.org/obo/HP_0005243,Partial abdominal muscle agenesis,
http://purl.obolibrary.org/obo/HP_0006155,Long phalanx of finger,Long finger bone
http://purl.obolibrary.org/obo/HP_0032431,Decreased HDL3b concentration,
http://purl.obolibrary.org/obo/HP_0001623,Breech presentation,Breech presentation at birth|Feet or buttocks of fetus positioned near opening of uterus
http://purl.obolibrary.org/obo/HP_0006628,Absent sternal ossification,Absent sternal mineralization|Lack of sternal ossification|Absent bone maturation in sternum
http://purl.obolibrary.org/obo/HP_0032171,Bladder pain,
http://purl.obolibrary.org/obo/HP_0008718,Unilateral renal dysplasia,
http://purl.obolibrary.org/obo/HP_0006002,HP_0006002,
http://purl.obolibrary.org/obo/HP_0007814,Retinal pigment epithelial mottling,RPE irregularity|Salt and pepper retinopathy|Salt and pepper retinal pigmentation|RPE mottling|Retinal pigment epithelium irregularity|Focal hypopigmentation of the retinal pigment epithelium
http://purl.obolibrary.org/obo/HP_0012269,Abnormal muscle glycogen content,
http://purl.obolibrary.org/obo/HP_0007081,Late-onset muscular dystrophy,
http://purl.obolibrary.org/obo/HP_0008893,HP_0008893,
http://purl.obolibrary.org/obo/HP_0031176,Absent thoracic vertebra,
http://purl.obolibrary.org/obo/HP_0000628,HP_0000628,
http://purl.obolibrary.org/obo/HP_0031909,Unicornuate uterus,
http://purl.obolibrary.org/obo/HP_0003461,Increased urinary O-linked sialopeptides,
http://purl.obolibrary.org/obo/HP_0012706,Elevated brain choline level by MRS,
http://purl.obolibrary.org/obo/HP_0025281,Sharp,
http://purl.obolibrary.org/obo/HP_0000155,Oral ulcer,Mouth sore|Mouth ulcer
http://purl.obolibrary.org/obo/HP_0001967,Diffuse mesangial sclerosis,Mesangial sclerosis|Diffuse mesangial sclerosis glomerulopathy
http://purl.obolibrary.org/obo/HP_0500058,Retinopathy of prematurity stage 5b,ROP stage 5b
http://purl.obolibrary.org/obo/HP_0010570,Low maternal serum alpha-fetoprotein,Low maternal serum alpha-fetoprotein
http://purl.obolibrary.org/obo/HP_0100472,Symphalangism affecting the middle phalanx of the 5th toe,Fused middle bones of 5th toe
http://purl.obolibrary.org/obo/HP_0005035,Shortening of all phalanges of the toes,Short toe bones
http://purl.obolibrary.org/obo/HP_0006847,HP_0006847,
http://purl.obolibrary.org/obo/HP_0004212,HP_0004212,
http://purl.obolibrary.org/obo/HP_0200004,HP_0200004,
http://purl.obolibrary.org/obo/HP_0410273,Retropharyngeal hemangioma,
http://purl.obolibrary.org/obo/HP_0007981,obsolete Concentric narrowing of visual field,
http://purl.obolibrary.org/obo/HP_0012501,Abnormality of the brainstem white matter,
http://purl.obolibrary.org/obo/HP_0030480,Abnormal timing of light-adapted flicker electroretinogram,
http://purl.obolibrary.org/obo/HP_0003918,Sclerotic humeral metaphysis,Stiffening of wide portion of long bone of upper arm|Hardening of wide portion of long bone of upper arm
http://purl.obolibrary.org/obo/HP_0032376,Anti-beta 2 glycoprotein I antibody positivity,Anti-B2GPI positivity
http://purl.obolibrary.org/obo/HP_0006787,HP_0006787,
http://purl.obolibrary.org/obo/HP_0001762,Talipes equinovarus,"Pes equinovarus|Talipes varus|Clubfoot|Equinovarus|Club foot|Club feet|Pes equinus|Clubfeet|Foot, talipes equinovarus"
http://purl.obolibrary.org/obo/HP_0007554,Confetti hypopigmentation pattern of lower leg skin,Confetti hypopigmentation pattern of lower leg skin
http://purl.obolibrary.org/obo/HP_0003497,HP_0003497,
http://purl.obolibrary.org/obo/HP_0010107,Short proximal phalanx of hallux,Hypoplastic proximal phalanx of the hallux|Short innermost big toe bone|Short proximal phalanx of halluces|Small proximal phalanx of big toe|Small proximal phalanx of hallux|Short proximal phalanges of halluces
http://purl.obolibrary.org/obo/HP_0011919,Pleural empyema,Pyothorax
http://purl.obolibrary.org/obo/HP_0030846,Abnormality of venous physiology,
http://purl.obolibrary.org/obo/HP_0040252,Abnormal size of the clitoris,
http://purl.obolibrary.org/obo/HP_0031649,Aortic rupture,
http://purl.obolibrary.org/obo/HP_0000210,HP_0000210,
http://purl.obolibrary.org/obo/HP_0008305,Exercise-induced myoglobinuria,Exercise-induced myoglobinuria in adults
http://purl.obolibrary.org/obo/HP_0011750,Neoplasm of the anterior pituitary,Neoplasm of the pars anterior|Neoplasm of the adenohypophysis
http://purl.obolibrary.org/obo/HP_0004248,Abnormality of the lunate bone,
http://purl.obolibrary.org/obo/HP_0025486,Fused labia majora,
http://purl.obolibrary.org/obo/HP_0008480,Cervical spondylosis,Neck arthritis|Cervical oestoarthritis
http://purl.obolibrary.org/obo/HP_0012845,Single trichilemmoma,
http://purl.obolibrary.org/obo/HP_0002521,Hypsarrhythmia,Hypsarrhythmia by EEG
http://purl.obolibrary.org/obo/HP_0010755,Asymmetry of the maxilla,Asymmetry of the upper jaw|Asymmetry of upper jaw|Crooked upper jaw|Canted upper jaw|Asymmetry of right and left side of the maxilla|Uneven upper jaw|Crooked maxilla|Uneven maxilla|Tilted upper jaw|Unequal sides of maxilla|Tilted maxilla|Canted maxilla|Deviation of the upper jaw|Deviation of the maxilla
http://purl.obolibrary.org/obo/HP_0004417,Intermittent claudication,
http://purl.obolibrary.org/obo/HP_0030006,Single fiber EMG abnormality,
http://purl.obolibrary.org/obo/HP_0031818,Abnormal waist to hip ratio,
http://purl.obolibrary.org/obo/HP_0040224,Abnormality of fibrinolysis,Abnormality of the fibrinolytic system
http://purl.obolibrary.org/obo/HP_0010326,Deviation of the 2nd toe,Displacement of the 2nd toe
http://purl.obolibrary.org/obo/HP_0006086,Thin metacarpal cortices,
http://purl.obolibrary.org/obo/HP_0004860,Thiamine-responsive megaloblastic anemia,
http://purl.obolibrary.org/obo/HP_0032408,Breast lump,
http://purl.obolibrary.org/obo/HP_0006950,HP_0006950,
http://purl.obolibrary.org/obo/HP_0025059,Splenic abscess,
http://purl.obolibrary.org/obo/HP_0005007,HP_0005007,
http://purl.obolibrary.org/obo/HP_0100228,Fragmentation of the epiphysis of the proximal phalanx of the 5th toe,Fragmentation of the end part of the innermost bone of the little toe|Fragmentation of the end part of the innermost bone of the pinky toe|Fragmentation of the end part of the innermost bone of the pinkie toe
http://purl.obolibrary.org/obo/HP_0032148,Episodic pain,
http://purl.obolibrary.org/obo/HP_0001554,HP_0001554,
http://purl.obolibrary.org/obo/HP_0007759,Opacification of the corneal stroma,Cloudy cornea|Corneal stromal opacity|Cloudy corneas
http://purl.obolibrary.org/obo/HP_0009680,Irregular epiphysis of the distal phalanx of the thumb,Irregular end part of thumb outermost bone
http://purl.obolibrary.org/obo/HP_0025541,obsolete Decreased activity of complement receptor,
http://purl.obolibrary.org/obo/HP_0011069,Increased number of teeth,Increased number of teeth|Supplemental dentition|Extra teeth|Supernumerary teeth|Supplemental teeth|Supernumerary tooth|Increased tooth count|Hyperdontia|Supernumary teeth|Supernumary dentition|More teeth than normal
http://purl.obolibrary.org/obo/HP_0012233,Intramuscular hematoma,Intramuscular haematoma|Intramuscular hemorrhage|IM hematoma|Intramuscular hematomas
http://purl.obolibrary.org/obo/HP_0100023,Recurrent hand flapping,
http://purl.obolibrary.org/obo/HP_0002494,Abnormal rapid eye movement sleep,Abnormal REM sleep
http://purl.obolibrary.org/obo/HP_0006374,HP_0006374,
http://purl.obolibrary.org/obo/HP_0030862,Elevated CSF amyloid level,
http://purl.obolibrary.org/obo/HP_0002261,HP_0002261,
http://purl.obolibrary.org/obo/HP_0011506,Choroidal neovascularization,
http://purl.obolibrary.org/obo/HP_0030433,Osteoid osteoma,
http://purl.obolibrary.org/obo/HP_0007141,Sensorimotor neuropathy,Nerve damage causing decreased feeling and movement|Sensorimotor peripheral neuropathy|Mixed polyneuropathy
http://purl.obolibrary.org/obo/HP_0500022,Abnormal serum dehydroepiandrosterone level,Abnormal serum DHEA|Abnormal serum androstenolone level
http://purl.obolibrary.org/obo/HP_0001931,Hypochromic anemia,Hypochromic anaemia
http://purl.obolibrary.org/obo/HP_0004844,Coombs-positive hemolytic anemia,Direct Coombs positive
http://purl.obolibrary.org/obo/HP_0025114,Hypergranulosis,
http://purl.obolibrary.org/obo/HP_0006811,HP_0006811,
http://purl.obolibrary.org/obo/HP_0003012,HP_0003012,
http://purl.obolibrary.org/obo/HP_0007890,HP_0007890,
http://purl.obolibrary.org/obo/HP_0032400,Dysgyria with thickened cortex,
http://purl.obolibrary.org/obo/HP_0002754,Osteomyelitis,Bone infection
http://purl.obolibrary.org/obo/HP_0006146,Broad metacarpal epiphyses,Broad end part of long bone of hand
http://purl.obolibrary.org/obo/HP_0003253,HP_0003253,
http://purl.obolibrary.org/obo/HP_0007310,HP_0007310,
http://purl.obolibrary.org/obo/HP_0000936,HP_0000936,
http://purl.obolibrary.org/obo/HP_0006895,Lower limb hypertonia,
http://purl.obolibrary.org/obo/HP_0031405,Poroma,
http://purl.obolibrary.org/obo/HP_0001759,HP_0001759,
http://purl.obolibrary.org/obo/HP_0012432,Chronic fatigue,Chronic extreme exhaustion|Chronic fatigue
http://purl.obolibrary.org/obo/HP_0002903,HP_0002903,
http://purl.obolibrary.org/obo/HP_0005083,HP_0005083,
http://purl.obolibrary.org/obo/HP_0004004,Irregular radial epiphyses,
http://purl.obolibrary.org/obo/HP_0005816,HP_0005816,
http://purl.obolibrary.org/obo/HP_0025510,Nevus spilus,Speckled lentiginous Nevus
http://purl.obolibrary.org/obo/HP_0009472,HP_0009472,
http://purl.obolibrary.org/obo/HP_0011681,Subarterial ventricular septal defect,Conal ventricular septal defect|Infundibular ventricular septal defect|Type 1 ventricular septal defect|Supracristal ventricular septal defect|Doubly committed ventricular septal defect
http://purl.obolibrary.org/obo/HP_0005343,Hypoplasia of the bladder,Underdeveloped bladder|Hypoplastic bladder
http://purl.obolibrary.org/obo/HP_0012005,Deja vu,Deja vu
http://purl.obolibrary.org/obo/HP_0200132,HP_0200132,
http://purl.obolibrary.org/obo/HP_0006523,HP_0006523,
http://purl.obolibrary.org/obo/HP_0011842,Abnormality of skeletal morphology,Abnormally shaped skeletal
http://purl.obolibrary.org/obo/HP_0009436,Triangular shaped middle phalanx of the 3rd finger,Triangular shaped middle bone of the middle finger
http://purl.obolibrary.org/obo/HP_0002466,HP_0002466,
http://purl.obolibrary.org/obo/HP_0100671,Abnormal trabecular bone morphology,Abnormal shape of spongy bone|Abnormality of bone trabeculation
http://purl.obolibrary.org/obo/HP_0003217,Hyperglutaminemia,High plasma glutamine
http://purl.obolibrary.org/obo/HP_0500227,Increased CSF serine concentration,High serine levels in cerebrospinal fluid
http://purl.obolibrary.org/obo/HP_0030618,Increased OCT-measured foveal thickness,
http://purl.obolibrary.org/obo/HP_0410305,Partial absence of specific antibody response to Haemophilus influenzae type b (Hib) vaccine,
http://purl.obolibrary.org/obo/HP_0001081,Cholelithiasis,Gallstones
http://purl.obolibrary.org/obo/HP_0009909,Uplifted earlobe,"Fleshy upturned lobules|Uplifted earlobe|Upturned earlobe|Lobe, uplifted|Upturned earlobes|Uplifted earlobes"
http://purl.obolibrary.org/obo/HP_0002893,Pituitary adenoma,Noncancerous tumor in pituitary gland
http://purl.obolibrary.org/obo/HP_0009176,HP_0009176,
http://purl.obolibrary.org/obo/HP_0009009,HP_0009009,
http://purl.obolibrary.org/obo/HP_0011238,Prominent inferior crus of antihelix,"Antihelix, inferior crus, prominent|Hyperplastic inferior crus of antihelix|Hypertrophic inferior crus of antihelix"
http://purl.obolibrary.org/obo/HP_0008685,HP_0008685,
http://purl.obolibrary.org/obo/HP_0031957,Spastic hemiparetic gait,Wernicke-Mann gait
http://purl.obolibrary.org/obo/HP_0001499,HP_0001499,
http://purl.obolibrary.org/obo/HP_0006742,Congenital neuroblastoma,
http://purl.obolibrary.org/obo/HP_0010847,EEG with spike-wave complexes (<2.5 Hz),
http://purl.obolibrary.org/obo/HP_0009605,HP_0009605,
http://purl.obolibrary.org/obo/HP_0100840,Aplasia/Hypoplasia of the eyebrow,Agenesis of eyebrow|Hypotrophic eyebrow|Lack of eyebrow|Absence of eyebrow|Missing eyebrow|Sparse to absent eyebrows|Sparse/absent eyebrows|Sparse or absent eyebrows
http://purl.obolibrary.org/obo/HP_0000523,Subcapsular cataract,Subcapsular lenticular cataracts|Subcapsular cataracts|Subcapsular opacities
http://purl.obolibrary.org/obo/HP_0005548,Megakaryocytopenia,
http://purl.obolibrary.org/obo/HP_0010074,Triangular shaped 1st metatarsal,Triangular shaped 1st long bone of foot
http://purl.obolibrary.org/obo/HP_0006315,Single median maxillary incisor,Single central incisor|Single midline maxillary incisor|Only one upper front tooth|Single maxillary central incisor|Single central upper incisor|Single median maxillary central incisor|Solitary median maxillary central incisor|Solitary midline maxillary central incisor|Single midline upper front tooth|Single median incisor|Solitary median maxillary central incisor syndrome
http://purl.obolibrary.org/obo/HP_0031580,Tessier number 8 facial cleft,
http://purl.obolibrary.org/obo/HP_0002258,HP_0002258,
http://purl.obolibrary.org/obo/HP_0007394,Prominent superficial blood vessels,Prominent superficial blood vessels|Prominent superficial vasculature
http://purl.obolibrary.org/obo/HP_0009228,Bullet-shaped proximal phalanx of the 5th finger,Bullet-shaped innermost pinkie finger bone|Bullet-shaped innermost little finger bone|Bullet-shaped innermost pinky finger bone
http://purl.obolibrary.org/obo/HP_0040092,Asymmetry of the shape of the ears,Asymmetry of the shape of the ears
http://purl.obolibrary.org/obo/HP_0025045,Abnormal brain lactate level by MRS,Abnormal lactate level by magnetic resonance spectroscopy
http://purl.obolibrary.org/obo/HP_0004088,HP_0004088,
http://purl.obolibrary.org/obo/HP_0002862,Bladder carcinoma,
http://purl.obolibrary.org/obo/HP_0012601,Hypochloriduria,Low urine chloride levels|Decreased urinary chloride
http://purl.obolibrary.org/obo/HP_0031489,Venous malformation of the lip,
http://purl.obolibrary.org/obo/HP_0001908,Hypoplastic anemia,
http://purl.obolibrary.org/obo/HP_0032331,Increased urinary 11-deoxytetrahydrocorticosterone level,
http://purl.obolibrary.org/obo/HP_0003009,Enhanced neurotoxicity of vincristine,
http://purl.obolibrary.org/obo/HP_0010511,Long toe,Long toes|Increased length of toes|Long toe
http://purl.obolibrary.org/obo/HP_0009957,Complete duplication of the phalanges of the 2nd finger,Complete duplication of the bones of the index finger
http://purl.obolibrary.org/obo/HP_0002053,HP_0002053,
http://purl.obolibrary.org/obo/HP_0003865,Bowed humerus,Bowed long bone in upper arm|Bowing of the humerus|Humeral bowing
http://purl.obolibrary.org/obo/HP_0007942,Internal ophthalmoplegia,
http://purl.obolibrary.org/obo/HP_0012377,Hemianopia,Hemianopsia
http://purl.obolibrary.org/obo/HP_3000078,Abnormal mandible coronoid process morphology,Abnormality of mandible coronoid process
http://purl.obolibrary.org/obo/HP_0006110,Shortening of all middle phalanges of the fingers,Shortened middle finger bones|Disproportionately short middle phalanges
http://purl.obolibrary.org/obo/HP_0000559,Corneal scarring,
http://purl.obolibrary.org/obo/HP_0100876,Infra-orbital crease,Infraorbital creases|Crease in skin under the eye|Underorbital skin creases|Groove in skin under the eye|Infraorbital crease
http://purl.obolibrary.org/obo/HP_0001723,Restrictive cardiomyopathy,
http://purl.obolibrary.org/obo/HP_0007682,HP_0007682,
http://purl.obolibrary.org/obo/HP_0025278,Cold-induced sweating,
http://purl.obolibrary.org/obo/HP_0008272,Renal tubular lysine transport defect,
http://purl.obolibrary.org/obo/HP_0003392,First dorsal interossei muscle weakness,
http://purl.obolibrary.org/obo/HP_0005288,Abnormality of the nares,Abnormality of the nostrils|Anomaly of the nares|Deformity of the nostrils|Malformation of the nostrils|Deformity of the nares|Malformation of the nares
http://purl.obolibrary.org/obo/HP_0200077,HP_0200077,
http://purl.obolibrary.org/obo/HP_0012637,Renal calcium wasting,Kidney Ca2+ wasting|Renal Ca wasting|Renal Ca2+ wasting|Kidney calcium wasting|Kidney Ca wasting
http://purl.obolibrary.org/obo/HP_0031544,Elevated propionylcarnitine level,
http://purl.obolibrary.org/obo/HP_0011819,Submucous cleft soft palate,Partial thickness cleft soft palate|Submucous cleft velum
http://purl.obolibrary.org/obo/HP_0030746,Intraventricular hemorrhage,
http://purl.obolibrary.org/obo/HP_0025427,Abnormal bronchus physiology,
http://purl.obolibrary.org/obo/HP_0008441,Herniation of intervertebral nuclei,Herniated disk|Herniated intervertebral nuclei
http://purl.obolibrary.org/obo/HP_0005135,Abnormal T-wave,T-wave abnormalities|EKG: T-wave abnormalities
http://purl.obolibrary.org/obo/HP_0500158,Abnormal circulating aspartic acid concentration,Abnormal circulating aspartate concentration
http://purl.obolibrary.org/obo/HP_0032536,Increased number of lymph nodes,
http://purl.obolibrary.org/obo/HP_0031713,Constant exotropia,
http://purl.obolibrary.org/obo/HP_0001022,Albinism,Achromasia|Albinism
http://purl.obolibrary.org/obo/HP_0008793,HP_0008793,
http://purl.obolibrary.org/obo/HP_0006911,HP_0006911,
http://purl.obolibrary.org/obo/HP_0009804,Reduced number of teeth,Tooth agenesis|Reduced number of teeth|Failure of development of some teeth|Decreased tooth count|Decreased number of teeth|Fewer teeth than normal|Missing some teeth
http://purl.obolibrary.org/obo/HP_0012169,Self-biting,
http://purl.obolibrary.org/obo/HP_0011346,Mild expressive language delay,
http://purl.obolibrary.org/obo/HP_0002594,Pancreatic hypoplasia,Underdeveloped pancreas|Hypoplastic pancreas
http://purl.obolibrary.org/obo/HP_0032063,Ankle joint effusion,
http://purl.obolibrary.org/obo/HP_0006651,HP_0006651,
http://purl.obolibrary.org/obo/HP_0000468,Increased adipose tissue around the neck,Increased fat around the neck
http://purl.obolibrary.org/obo/HP_0010883,Aortic valve atresia,Aortic atresia
http://purl.obolibrary.org/obo/HP_0031749,Abnormal lateral rectus muscle physiology,
http://purl.obolibrary.org/obo/HP_0100785,Insomnia,Difficulty staying or falling asleep|Fragmented sleep
http://purl.obolibrary.org/obo/HP_0030801,Reduced visual accommodation,
http://purl.obolibrary.org/obo/HP_0001310,Dysmetria,Lack of coordination of movement|Abnormal finger chase test|Abnormal finger-nose-finger test
http://purl.obolibrary.org/obo/HP_0004348,Abnormality of bone mineral density,Abnormality of bone mineralisation and ossification
http://purl.obolibrary.org/obo/HP_0009993,Complete duplication of the proximal phalanx of the 5th finger,Complete duplication of the innermost pinkie finger bone|Complete duplication of the innermost little finger bone|Complete duplication of the innermost pinky finger bone
http://purl.obolibrary.org/obo/HP_0030380,Decreased proportion of transitional B cells,Decreased proportion of CD19+CD38+IgM+ cells
http://purl.obolibrary.org/obo/HP_0008181,Abetalipoproteinemia,
http://purl.obolibrary.org/obo/HP_0001058,Poor wound healing,Poor wound healing
http://purl.obolibrary.org/obo/HP_0012546,Skewed maternal X inactivation,
http://purl.obolibrary.org/obo/HP_0032276,Prominent subcalcaneal fat pad,
http://purl.obolibrary.org/obo/HP_0000728,Impaired ability to form peer relationships,
http://purl.obolibrary.org/obo/HP_0006687,Aortic tortuosity,
http://purl.obolibrary.org/obo/HP_0007186,HP_0007186,
http://purl.obolibrary.org/obo/HP_0010603,Odontogenic keratocysts of the jaw,Keratocysts of the jaw|Keratocystic odontogenic tumor
http://purl.obolibrary.org/obo/HP_0008998,Pectoralis hypoplasia,Hypoplastic pectoral muscle|Small pec muscle|Underdeveloped pec muscle
http://purl.obolibrary.org/obo/HP_0410145,Decreased biotinidase activity,
http://purl.obolibrary.org/obo/HP_0004960,Absent pulmonary artery,Missing pulmonary artery|Absent lung artery
http://purl.obolibrary.org/obo/HP_0011382,Hypoplasia of the semicircular canal,Small semicircular canal|Hypoplasia of the semicircular canals
http://purl.obolibrary.org/obo/HP_0009840,Patchy sclerosis of distal phalanx of finger,Uneven increase in bone density in outermost finger bone|Patchy sclerosis of the distal phalanges of the hand
http://purl.obolibrary.org/obo/HP_0031300,Abnormal circulating properdin level,
http://purl.obolibrary.org/obo/HP_0009749,HP_0009749,
http://purl.obolibrary.org/obo/HP_0002779,Tracheomalacia,Floppy windpipe
http://purl.obolibrary.org/obo/HP_0002421,Poor head control,Poor head control
http://purl.obolibrary.org/obo/HP_0100771,Hypoperistalsis,Intestinal hypoperistalsis
http://purl.obolibrary.org/obo/HP_0012745,Short palpebral fissure,Short palpebral fissures|Short opening between the eyelids|Decreased height of palpebral fissure
http://purl.obolibrary.org/obo/HP_0007446,Palmoplantar blistering,
http://purl.obolibrary.org/obo/HP_0004317,HP_0004317,
http://purl.obolibrary.org/obo/HP_0030718,Right atrial enlargement,Dilated right atrium|Enlarged heart right atrium|Right atrial dilatation
http://purl.obolibrary.org/obo/HP_0003993,Broad ulna,Wide ulna
http://purl.obolibrary.org/obo/HP_0030585,Red desaturation,
http://purl.obolibrary.org/obo/HP_0040108,Morphological abnormality of the anterior semicircular canal,
http://purl.obolibrary.org/obo/HP_0003361,Tryptophanuria,High urine tryptophan levels
http://purl.obolibrary.org/obo/HP_0100632,Pulmonary sequestration,Cystic lung lesion
http://purl.obolibrary.org/obo/HP_0007241,HP_0007241,
http://purl.obolibrary.org/obo/HP_0011606,obsolete Transposition of the great arteries with intact ventricular septum,
http://purl.obolibrary.org/obo/HP_0010470,Supernumerary testes,Polyorchidism|Extra testes
http://purl.obolibrary.org/obo/HP_0032500,Exacerbated by tobacco use,Aggravated by tobacco use|Exacerbated by smoking|Smoking or tobacco use exacerbates symptoms
http://purl.obolibrary.org/obo/HP_0031336,Intranuclear cardiomyocyte mitochondria,
http://purl.obolibrary.org/obo/HP_0100372,Aplasia/Hypoplasia of the middle phalanx of the 3rd toe,Absent/small middle 3rd toe bone|Absent/underdeveloped middle 3rd toe bone
http://purl.obolibrary.org/obo/HP_0003621,Juvenile onset,Signs and symptoms begin before 15 years of age
http://purl.obolibrary.org/obo/HP_0005711,HP_0005711,
http://purl.obolibrary.org/obo/HP_0012133,Erythroid hypoplasia,Erythroblastopenia|Erythroid hypoplasia in the bone marrow
http://purl.obolibrary.org/obo/HP_0009580,Aplasia/Hypoplasia of the proximal phalanx of the 2nd finger,Absent/small innermost index finger bone|Absent/underdeveloped innermost index finger bone
